"outlet_name","date","lat","lng","source","address"
"JP HOSPITAL ","02:09 PM","30.1264831","77.290101","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:09 PM","30.1264831","77.290101","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:09 PM","30.1264831","77.290101","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:09 PM","30.1264831","77.290101","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:10 PM","30.1264816","77.2900896","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:10 PM","30.1264816","77.2900896","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:10 PM","30.1264816","77.2900896","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"JP HOSPITAL ","02:10 PM","30.1264816","77.2900896","A","B2/871B/1, Vishwakarma Mohalla, Yamuna Nagar, Haryana 135001, India"
"RAJ PLUS HOSPITAL","03:02 PM","30.1423411","77.2856495","A","47RP+W7 Jagadhri, Haryana, India"
"RAJ PLUS HOSPITAL","03:02 PM","30.1423411","77.2856495","A","47RP+W7 Jagadhri, Haryana, India"
"RAJ PLUS HOSPITAL","03:02 PM","30.1423411","77.2856495","A","47RP+W7 Jagadhri, Haryana, India"
"RAJ PLUS HOSPITAL","03:02 PM","30.1423411","77.2856495","A","47RP+W7 Jagadhri, Haryana, India"
"GABA HOSPITAL ","07:13 PM","30.1793766","77.290339","A","88, Gulab Nagar, Jagadhri, Haryana 135003, India"
"GABA HOSPITAL ","07:13 PM","30.1793766","77.290339","A","88, Gulab Nagar, Jagadhri, Haryana 135003, India"
"GABA HOSPITAL ","07:13 PM","30.1793766","77.290339","A","88, Gulab Nagar, Jagadhri, Haryana 135003, India"
